id,J_Job_POW,J_Pop_PUR,J_Val_Job,J_Val_Pop,J_BiVar,Long,Lat
1733,"1","0",A,"1",A1,149.027329,-35.287565
1732,"0","0",A,"1",A1,149.027217,-35.283059
1735,"1","0",A,"1",A1,149.027554,-35.296576
1734,"0","0",A,"1",A1,149.027442,-35.292070
1737,"0","0",A,"1",A1,149.027779,-35.305587
1736,"0","0",A,"1",A1,149.027667,-35.301082
1739,"10","0",A,"1",A1,149.028004,-35.314598
1738,"10","0",A,"1",A1,149.027891,-35.310093
1741,"1","19",A,"1",A1,149.028229,-35.323610
1740,"0","0",A,"1",A1,149.028117,-35.319104
5873,"2","0",A,"1",A1,149.242369,-35.310812
1743,"26","416",A,"3",A3,149.028454,-35.332621
5872,"3","0",A,"1",A1,149.242244,-35.306307
1742,"24","43",A,"1",A1,149.028342,-35.328115
5875,"1","0",A,"1",A1,149.242617,-35.319822
5874,"1","0",A,"1",A1,149.242493,-35.315317
5876,"0","0",A,"1",A1,149.242742,-35.324327
5879,"0","0",A,"1",A1,149.243115,-35.337842
5878,"0","0",A,"1",A1,149.242991,-35.333337
5857,"0","0",A,"1",A1,149.240382,-35.238731
5856,"2","0",A,"1",A1,149.240258,-35.234226
5859,"1","0",A,"1",A1,149.240630,-35.247741
5858,"0","0",A,"1",A1,149.240506,-35.243236
1760,"0","0",A,"1",A1,149.030372,-35.409216
5861,"2","0",A,"1",A1,149.240878,-35.256751
5860,"3","0",A,"1",A1,149.240754,-35.252246
5863,"2","0",A,"1",A1,149.241126,-35.265761
5862,"3","0",A,"1",A1,149.241002,-35.261256
5865,"3","0",A,"1",A1,149.241374,-35.274771
5864,"4","0",A,"1",A1,149.241250,-35.270266
5867,"5","1",A,"1",A1,149.241623,-35.283782
5866,"3","0",A,"1",A1,149.241499,-35.279277
5869,"0","0",A,"1",A1,149.241871,-35.292792
5868,"2","0",A,"1",A1,149.241747,-35.288287
5871,"1","0",A,"1",A1,149.242120,-35.301802
5870,"2","0",A,"1",A1,149.241996,-35.297297
5761,"1","0",A,"1",A1,149.236129,-35.283883
5760,"1","0",A,"1",A1,149.236005,-35.279378
5763,"1","0",A,"1",A1,149.236376,-35.292893
5762,"2","0",A,"1",A1,149.236252,-35.288388
5765,"2","0",A,"1",A1,149.236624,-35.301904
5764,"0","0",A,"1",A1,149.236500,-35.297398
5767,"1","0",A,"1",A1,149.236873,-35.310914
5766,"4","1",A,"1",A1,149.236748,-35.306409
5769,"1","0",A,"1",A1,149.237121,-35.319924
5768,"3","0",A,"1",A1,149.236997,-35.315419
5771,"2","0",A,"1",A1,149.237369,-35.328934
5770,"2","0",A,"1",A1,149.237245,-35.324429
5773,"2","0",A,"1",A1,149.237618,-35.337944
5772,"3","1",A,"1",A1,149.237493,-35.333439
5774,"0","0",A,"1",A1,149.237742,-35.342449
