fid,ogc_fid,sa2_main16,sa2_5dig16,sa2_name16,sa3_code16,sa3_name16,sa4_code16,sa4_name16,gcc_code16,gcc_name16,ste_code16,ste_name16,areasqkm16,Long,Lat,EJD_Total,EJD_AgriFor,EJD_Mining,EJD_Manufacturing,EJD_Util,EJD_Constr,EJD_Wholesale,EJD_Retail,EJD_AccoFood,EJD_Logistic,EJD_IT,EJD_Fin,EJD_RealEst,EJD_ProfServ,EJD_Admin,EJD_GovDef,EJD_Edu,EJD_Health,EJD_Arts,EJD_Other,EMP_Total_2016,EMP_Total_2021,ERP_2014,ERP_2015,ERP_2016,ERP_2017,ERP_2018,ERP_2019,ERP_2020,EJD_Total_Level
335,573,128021538,11538,Sutherland - Kirrawee,12802,Sutherland - Menai - Heathcote,128,Sydney - Sutherland,1GSYD,Greater Sydney,1,New South Wales,7.7547,151.0639222,-34.03196426,105728.0861,567.8338559,359.0068711,5714.004349,767.3281359,7257.093341,3265.310327,10424.46991,7333.151595,5072.503473,2678.42047,6826.899076,2023.420409,10638.06767,3539.511267,6934.150821,8620.016436,12751.48238,1834.353584,4072.462068,12303.08589,13625.9056,20997,21251,21548,21833,22092,22384,22769,Lv 13
336,574,128021607,11607,Engadine,12802,Sutherland - Menai - Heathcote,128,Sydney - Sutherland,1GSYD,Greater Sydney,1,New South Wales,8.9538,151.0136204,-34.05477178,81496.41355,527.0748348,334.786019,4348.711881,613.2719918,5389.366915,2537.19314,7962.016016,5988.100535,4019.389802,2125.900723,5270.797549,1581.708713,8117.431932,2717.288374,4949.74638,6945.783849,9818.511767,1394.389461,3000.314845,3971.149044,4415.907112,17341,17368,17422,17421,17466,17499,17578,Lv 11
338,575,128021608,11608,Loftus - Yarrawarrah,12802,Sutherland - Menai - Heathcote,128,Sydney - Sutherland,1GSYD,Greater Sydney,1,New South Wales,3.8436,151.0386623,-34.0494474,69133.91472,502.8810492,310.1946641,3812.165858,546.7744416,4621.170871,2211.837186,6578.811472,4865.180853,3439.758567,1829.863702,4452.447616,1345.469559,6922.163555,2306.827008,4282.518381,5910.109402,8236.326183,1182.141943,2477.301057,772.5946071,887.7362356,7472,7461,7451,7448,7450,7453,7445,Lv 10
339,576,128021609,11609,Woronora Heights,12802,Sutherland - Menai - Heathcote,128,Sydney - Sutherland,1GSYD,Greater Sydney,1,New South Wales,3.1374,151.0285227,-34.03351678,68711.70364,502.9467491,310.2650295,3806.845296,546.9517115,4574.149908,2200.043643,6549.366138,4863.015597,3440.594563,1825.646161,4454.575483,1343.390359,6886.804953,2291.289922,4274.308732,5730.448441,8197.611952,1172.570751,2456.272042,281.873183,322.9255164,3868,3818,3764,3699,3626,3569,3517,Lv 10
341,342,117031331,11331,Glebe - Forest Lodge,11703,Sydney Inner City,117,Sydney - City and Inner South,1GSYD,Greater Sydney,1,New South Wales,2.3018,151.1847719,-33.87920374,270694.7172,783.6547012,667.7556964,9332.401969,1809.222717,14134.09928,7256.851369,20242.6945,18836.56056,10443.25905,13384.24897,29120.02224,5947.35798,39847.60391,10011.48096,16826.55314,21541.01312,23880.57576,6503.700744,8012.167093,8438.124334,9174.858033,19023,19814,20830,21713,22442,23112,23371,Lv 24
444,343,117031332,11332,Newtown - Camperdown - Darlington,11703,Sydney Inner City,117,Sydney - City and Inner South,1GSYD,Greater Sydney,1,New South Wales,3.2812,151.1822466,-33.89380103,240996.8911,740.4082294,558.1454609,9498.540307,1506.936311,12724.47423,6965.283737,18959.49239,16937.41496,10643.61204,9467.365217,21181.47039,4895.090992,30819.35102,8426.922648,14546.87714,22765.03428,26741.00981,4900.590136,7665.13163,23399.24263,26282.24595,24627,25487,26354,27655,28343,28435,28440,Lv 22
492,346,117031335,11335,Redfern - Chippendale,11703,Sydney Inner City,117,Sydney - City and Inner South,1GSYD,Greater Sydney,1,New South Wales,2.1631,151.2016302,-33.89226381,279437.2938,776.5562921,649.2226425,9751.242095,1750.429585,14102.11949,7719.589956,21044.58062,19571.03444,12233.26239,13146.49047,28590.02386,5959.595638,40716.24427,10482.36377,18145.33872,21738.17194,25676.23486,6190.583499,8491.562225,16883.21929,31786.11,21277,22756,23786,25231,26200,26944,27363,Lv 24
499,347,117031336,11336,Surry Hills,11703,Sydney Inner City,117,Sydney - City and Inner South,1GSYD,Greater Sydney,1,New South Wales,1.3164,151.2119753,-33.88561956,314533.9341,811.2486881,749.1362104,9541.896188,1915.266327,14769.98445,7552.128091,22430.17407,22274.12011,11583.31284,14981.6842,37736.16744,7010.792221,50335.99406,12345.56116,21700.47225,22302.99919,26610.76904,6948.921738,8998.429052,34116.12875,36941.28882,17295,17514,17746,18063,18278,18413,18460,Lv 26
519,349,117031338,11338,Waterloo - Beaconsfield,11703,Sydney Inner City,117,Sydney - City and Inner South,1GSYD,Greater Sydney,1,New South Wales,3.5809,151.2066639,-33.9092504,215236.4797,725.1653458,526.5965187,9099.879829,1570.097846,12179.06702,7428.218229,18624.70194,14869.67745,11917.31013,7996.448269,18591.76826,4557.442442,27310.18887,7906.818991,13203.70031,16239.12256,20678.53775,4247.759338,7258.346942,16754.87788,17972.56679,28526,32178,35154,37965,40220,42605,43764,Lv 21
630,356,118011345,11345,Paddington - Moore Park,11801,Eastern Suburbs - North,118,Sydney - Eastern Suburbs,1GSYD,Greater Sydney,1,New South Wales,3.725,151.2249833,-33.89024549,243342.5338,751.0321998,628.3799628,8314.854836,1539.595375,12330.01923,6263.109874,18666.77765,17410.08134,9397.189578,10685.04295,25950.71514,5371.198295,35851.44789,9182.137924,15812.34178,18333.84858,22827.50126,5760.181247,7332.843937,11056.37232,12233.49851,16004,16163,16280,16579,16705,16932,16976,Lv 22
803,344,117031333,11333,Potts Point - Woolloomooloo,11703,Sydney Inner City,117,Sydney - City and Inner South,1GSYD,Greater Sydney,1,New South Wales,1.4591,151.2240784,-33.87013365,249857.2314,740.9323126,682.1925704,8518.197182,1638.387176,12326.76958,6211.131082,17871.41894,18024.09932,9041.302151,10548.8784,29181.19515,5796.670563,38240.37636,9445.977164,18488.22968,17084.51685,22547.08476,5310.942805,7203.601168,17234.9588,18350.75078,21420,22055,22773,23697,24223,24441,24386,Lv 23
826,345,117031334,11334,Pyrmont - Ultimo,11703,Sydney Inner City,117,Sydney - City and Inner South,1GSYD,Greater Sydney,1,New South Wales,1.4913,151.1951869,-33.87322121,340570.0211,847.4078309,835.8502963,9820.953137,2255.278235,16308.33437,8116.284505,23296.24566,23642.01537,11802.78345,18734.31722,42576.12274,7803.616162,55499.67447,13055.96296,21345.61138,25246.4708,26355.52741,8964.806357,9299.600843,43443.62984,46415.71802,21996,22498,23112,24151,24638,24829,24661,Lv 26
925,340,117031329,11329,Darlinghurst,11703,Sydney Inner City,117,Sydney - City and Inner South,1GSYD,Greater Sydney,1,New South Wales,0.8569,151.2194398,-33.87790958,307775.7782,806.5249347,789.0850679,9193.028351,1946.063702,14368.89249,7065.453412,21315.37224,21905.2871,10865.42329,13422.88765,39967.91008,7191.958762,49633.85675,11976.12962,20859.45993,20653.45857,27434.22179,6513.688215,8516.282634,13737.63233,15483.65657,11867,12040,12242,12514,12721,12980,13096,Lv 26
938,341,117031330,11330,Erskineville - Alexandria,11703,Sydney Inner City,117,Sydney - City and Inner South,1GSYD,Greater Sydney,1,New South Wales,4.32,151.1914638,-33.90848589,227830.5715,740.5323173,531.3246716,10603.54064,1513.935147,13069.17013,8611.285577,20254.62135,15347.08699,13665.82453,8274.082152,18251.79302,4641.651749,27675.85928,7956.938326,13490.31067,17341.74615,22467.74028,4455.122203,7733.569589,27578.9474,31488.29413,16300,16835,17270,17816,18498,19016,19326,Lv 22
