fid,id,left,top,right,bottom,J_Attached,J_Secondar,J_Medium d,J_Apartmen,J_Total_Ne,Long,Lat
7040,7040,691805.209294467116706,6087605.034500000998378,692093.884429062018171,6087355.034500000067055,"10.04174322","21.76355103","0","0","31.80529426",149.11207,-35.33750
7041,7041,691805.209294467116706,6087355.034500000067055,692093.884429062018171,6087105.034500000067055,"1.7076752","30.94479951","0","0","32.65247471",149.11213,-35.33975
7042,7042,691805.209294467116706,6087105.034500000067055,692093.884429062018171,6086855.034500000067055,"5.745645529","28.85331891","0","0","34.59896444",149.11219,-35.34201
7043,7043,691805.209294467116706,6086855.034500000067055,692093.884429062018171,6086605.034500000067055,"2.497739356","13.8485935","0","0","16.34633285",149.11225,-35.34426
7044,7044,691805.209294467116706,6086605.034500000067055,692093.884429062018171,6086355.034500000067055,"5.882353682","0","0","0","5.882353682",149.11231,-35.34651
7045,7045,691805.209294467116706,6086355.034500000067055,692093.884429062018171,6086105.034500000067055,"8.615886468","0","0","0","8.615886468",149.11237,-35.34876
7046,7046,691805.209294467116706,6086105.034500000067055,692093.884429062018171,6085855.034500000067055,"1.052674111","0","0","0","1.052674111",149.11243,-35.35102
7047,7047,691805.209294467116706,6085855.034500000067055,692093.884429062018171,6085605.034500000067055,"2.959943715","0","0","0","2.959943715",149.11248,-35.35327
7048,7048,691805.209294467116706,6085605.034500000067055,692093.884429062018171,6085355.034499999135733,"0","0","0","0","0",149.11254,-35.35552
7049,7049,691805.209294467116706,6085355.034499999135733,692093.884429062018171,6085105.034500000067055,"2.643452929","2.485489899","0","0","5.128942828",149.11260,-35.35778
7050,7050,691805.209294467116706,6085105.034500000067055,692093.884429062018171,6084855.034500000067055,"7.86651215","12.46860779","0","0","20.33511994",149.11266,-35.36003
7051,7051,691805.209294467116706,6084855.034500000067055,692093.884429062018171,6084605.034500000067055,"4.444179103","17.99253653","0","0","22.43671563",149.11272,-35.36228
7052,7052,691805.209294467116706,6084605.034500000067055,692093.884429062018171,6084355.034500000067055,"15.07717827","5.315939144","0","0","20.39311741",149.11278,-35.36453
7053,7053,691805.209294467116706,6084355.034500000067055,692093.884429062018171,6084105.034500000067055,"48.54590133","0","0","0","48.54590133",149.11284,-35.36679
7054,7054,691805.209294467116706,6084105.034500000067055,692093.884429062018171,6083855.034500000067055,"18.20827064","0.027107654","0","0","18.23537829",149.11290,-35.36904
7055,7055,691805.209294467116706,6083855.034500000067055,692093.884429062018171,6083605.034500000998378,"0.614110089","1.5033453","0","0","2.11745539",149.11295,-35.37129
